tag,MSE,R2,knr__n_neighbors,knr__weights,knr__metric,high_corr_features_remover__corr_threshold,pca__n_components
l2 + minmax + knr,115.74452432836436,0.8982768720571062,5,uniform,euclidean,,
l2 + minmax + knr,107.59600483493078,0.9054382725275436,5,uniform,cityblock,,
l2 + minmax + knr,114.39620870980316,0.8994618515018806,5,uniform,nan_euclidean,,
l2 + minmax + knr,96.13473737822198,0.9155111116761064,15,distance,cosine,,
l2 + minmax + knr,109.78817103176884,0.9035116673269348,15,distance,euclidean,,
l2 + minmax + knr,103.8776082517046,0.9087062191848287,15,distance,cityblock,,
l2 + minmax + knr,109.63260787149056,0.9036483854252464,15,distance,nan_euclidean,,
l2 + minmax + knr,151.17626317366484,0.8671373661088628,15,uniform,cosine,,
l2 + minmax + knr,153.00467019777702,0.8655304539657208,15,uniform,euclidean,,
l2 + minmax + knr,143.4971967553812,0.873886183474365,15,uniform,cityblock,,
l2 + minmax + knr,152.88984795857976,0.8656313665349877,15,uniform,nan_euclidean,,
l2 + minmax + knr,100.68475446144396,0.9115122877785208,25,distance,cosine,,
l2 + minmax + knr,121.48637227184508,0.8932305967678639,25,distance,euclidean,,
l2 + minmax + knr,114.77780136392656,0.8991264853270857,25,distance,cityblock,,
l2 + minmax + knr,121.57493834522978,0.8931527596687303,25,distance,nan_euclidean,,
l2 + minmax + knr,181.8721089401051,0.8401600428675788,25,uniform,cosine,,
l2 + minmax + knr,183.63099491907903,0.8386142299272747,25,uniform,euclidean,,
l2 + minmax + knr,170.77761691891226,0.8499105380886876,25,uniform,cityblock,,
l2 + minmax + knr,183.7147429094944,0.8385406272441811,25,uniform,nan_euclidean,,
l2 + minmax + knr,103.29739480150889,0.9092161450527776,35,distance,cosine,,
l2 + minmax + knr,131.5075180295111,0.8844234216729152,35,distance,euclidean,,
l2 + minmax + knr,122.31737618128123,0.8925002614237849,35,distance,cityblock,,
l2 + minmax + knr,131.73151702134078,0.8842265581215966,35,distance,nan_euclidean,,
l2 + minmax + knr,199.4125257118168,0.8247444880515378,35,uniform,cosine,,
l2 + minmax + knr,204.08082366554663,0.8206417119351004,35,uniform,euclidean,,
l2 + minmax + knr,190.1625146949036,0.8328739443658357,35,uniform,cityblock,,
l2 + minmax + knr,204.4460862674408,0.8203206975752347,35,uniform,nan_euclidean,,
lmax + minmax + knr,94.9733650391662,0.9165317943193728,5,distance,cosine,,
lmax + minmax + knr,99.28431801898434,0.9127430740834354,5,distance,euclidean,,
lmax + minmax + knr,93.01642614366304,0.9182516678667292,5,distance,cityblock,,
lmax + minmax + knr,99.58955402537072,0.9124748146429944,5,distance,nan_euclidean,,
lmax + minmax + knr,115.38450851133804,0.8985932752323695,5,uniform,cosine,,
lmax + minmax + knr,116.60357605332628,0.8975218866352477,5,uniform,euclidean,,
lmax + minmax + knr,107.19226778663536,0.9057931005045676,5,uniform,cityblock,,
lmax + minmax + knr,117.35701689834794,0.8968597182957925,5,uniform,nan_euclidean,,
lmax + minmax + knr,96.91612448218176,0.9148243825128024,15,distance,cosine,,
lmax + minmax + knr,110.44379214711954,0.9029354687466056,15,distance,euclidean,,
lmax + minmax + knr,102.81122896679854,0.9096434163184608,15,distance,cityblock,,
lmax + minmax + knr,111.07169360142528,0.9023836318425056,15,distance,nan_euclidean,,
lmax + minmax + knr,155.07717800040098,0.8637090116332018,15,uniform,cosine,,
lmax + minmax + knr,154.5754622835909,0.8641499490542002,15,uniform,euclidean,,
lmax + minmax + knr,142.58363631584038,0.8746890743758069,15,uniform,cityblock,,
lmax + minmax + knr,155.1790667848911,0.8636194657482386,15,uniform,nan_euclidean,,
lmax + minmax + knr,101.13953856193012,0.911112596635388,25,distance,cosine,,
lmax + minmax + knr,121.3383493839685,0.8933606880291941,25,distance,euclidean,,
lmax + minmax + knr,112.97466087244734,0.9007111917482153,25,distance,cityblock,,
lmax + minmax + knr,121.50962959832918,0.8932101568549499,25,distance,nan_euclidean,,
lmax + minmax + knr,185.4073737813908,0.8370530432073454,25,uniform,cosine,,
lmax + minmax + knr,183.3809738671088,0.8388339632028278,25,uniform,euclidean,,
lmax + minmax + knr,172.24103879193947,0.8486243964652441,25,uniform,cityblock,,
lmax + minmax + knr,183.79371326771204,0.8384712234265985,25,uniform,nan_euclidean,,
lmax + minmax + knr,104.66987170682188,0.9080099312413858,35,distance,cosine,,
lmax + minmax + knr,131.26091947796323,0.8846401470528431,35,distance,euclidean,,
lmax + minmax + knr,120.55969520440992,0.8940450153370312,35,distance,cityblock,,
lmax + minmax + knr,131.30740353151126,0.8845992941195937,35,distance,nan_euclidean,,
lmax + minmax + knr,203.380703726908,0.8212570187110086,35,uniform,cosine,,
lmax + minmax + knr,204.7479863830441,0.8200553699127496,35,uniform,euclidean,,
lmax + minmax + knr,189.0746074440963,0.8338300615481045,35,uniform,cityblock,,
lmax + minmax + knr,204.7896361340432,0.8200187656502651,35,uniform,nan_euclidean,,
lmax + std + knr,100.75709204426218,0.9114487132359254,5,distance,cosine,,
lmax + std + knr,105.69236589974872,0.90711130291999,5,distance,euclidean,,
lmax + std + knr,92.84028835686598,0.9184064681626906,5,distance,cityblock,,
lmax + std + knr,106.26383342605251,0.9066090634868008,5,distance,nan_euclidean,,
lmax + std + knr,120.4933273341038,0.8941033433434886,5,uniform,cosine,,
lmax + std + knr,120.88551006381832,0.89375866998444,5,uniform,euclidean,,
lmax + std + knr,104.01934131441192,0.9085816557935568,5,uniform,cityblock,,
lmax + std + knr,121.55542745453178,0.8931699069924787,5,uniform,nan_euclidean,,
lmax + std + knr,103.01653533351194,0.9094629809507416,15,distance,cosine,,
lmax + std + knr,117.2443410216414,0.8969587445148626,15,distance,euclidean,,
lmax + std + knr,104.10998359636434,0.9085019939996396,15,distance,cityblock,,
lmax + std + knr,117.71067307459197,0.8965489043486738,15,distance,nan_euclidean,,
lmax + std + knr,158.27035758378634,0.8609026567132589,15,uniform,cosine,,
lmax + std + knr,157.19153658932814,0.8618507883564926,15,uniform,euclidean,,
lmax + std + knr,140.3596697397192,0.8766436276289845,15,uniform,cityblock,,
lmax + std + knr,157.42567530939573,0.8616450134127878,15,uniform,nan_euclidean,,
lmax + std + knr,105.58406665320496,0.9072064826978344,25,distance,cosine,,
lmax + std + knr,127.57054429244664,0.8878834668498867,25,distance,euclidean,,
lmax + std + knr,112.74892097784829,0.900909585307767,25,distance,cityblock,,
lmax + std + knr,127.94123181896754,0.8875576847456712,25,distance,nan_euclidean,,
lmax + std + knr,179.92459988848742,0.8418716289108688,25,uniform,cosine,,
lmax + std + knr,183.98970688103603,0.8382989726568982,25,uniform,euclidean,,
lmax + std + knr,165.69590118154224,0.8543766501844563,25,uniform,cityblock,,
lmax + std + knr,184.37501883485737,0.8379603377417354,25,uniform,nan_euclidean,,
lmax + std + knr,109.2191359279254,0.9040117690035206,35,distance,cosine,,
